id_couleur,id_couleur_bricklink,id_couleur_rebrickable,nom,nom_Lego,nom_Bricklink,nom_Rebrickable,ton,est_transparent,image_ref
1000,1,15,White,White,White,White,10,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/300501/00001.png
1001,159,1000,White Glow,White Glow,Glow in Dark White,Glow in Dark White,10,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6339147/00001.png
1050,12,47,Trans. Clear,Transparent,Trans-Clear,Trans-Clear,10,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6220959/00001.png
1051,228,1055,Transparent with Opalescence,Transparent with Opalescence,Satin Trans-Clear,Opal Trans-Clear,10,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6363601/00001.png
1101,85,72,Dark Stone Grey,Dark Stone Grey,Dark Bluish Gray,Dark Bluish Gray,11,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4211098/00001.png
1102,86,71,Medium Stone Grey,Medium Stone Grey,Light Bluish Gray,Light Bluish Gray,11,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4211389/00001.png
1103,77,1103,Titanium Metallic,Titanium Metallic,Pearl Dark Gray,Pearl Titanium,11,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6038201/00001.png
1200,11,0,Black,Black,Black,Black,12,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/300526/00001.png
1250,251,1095,Trans. Black,Transparent Black,Trans-Black,Trans-Black,12,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6470140/00001.png
1301,154,31,Lavender,Lavender,Lavender,Lavender,13,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6097053/00001.png
1302,157,30,Medium Lavender,Medium Lavender,Medium Lavender,Medium Lavender,13,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4651903/00001.png
1303,89,85,Medium Lilac,Medium Lilac,Dark Purple,Dark Purple,13,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6084028/00001.png
1351,51,52,Trans. Bright Bluish Violet,Transparent Bright Bluish Violet,Trans-Purple,Trans-Purple,13,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6240210/00001.png
1352,102,129,Trans. Bright Blue/Violet with Glitter,Transparent Bright Bluish Violet with Glitter,Glitter Trans-Purple,Glitter Trans-Purple,13,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6253761/00001.png
1401,41,323,Aqua,Aqua,Light Aqua,Light Aqua,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6236576/00001.png
1402,156,322,Medium Azur,Medium Azur,Medium Azure,Medium Azure,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4619652/00001.png
1403,63,272,Earth Blue,Earth Blue,Dark Blue,Dark Blue,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4255413/00001.png
1404,7,1,Bright Blue,Bright Blue,Blue,Blue,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/300523/00001.png
1405,39,3,Bright Bluish Green,Bright Bluish Green,Dark Turquoise,Dark Turquoise,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6213776/00001.png
1406,153,321,Dark Azur,Dark Azur,Dark Azure,Dark Azure,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6225538/00001.png
1407,105,212,Light Royal Blue,Light Royal Blue,Bright Light Blue,Bright Light Blue,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6285271/00001.png
1408,42,73,Medium Blue,Medium Blue,Medium Blue,Medium Blue,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4179830/00001.png
1409,55,379,Sand Blue,Sand Blue,Sand Blue,Sand Blue,14,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4620077/00001.png
1451,14,33,Trans. Blue,Transparent Blue,Trans-Dark Blue,Trans-Dark Blue,14,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6494117/00001.png
